Field,Stage 1 (rename),Stage 2 (rename),Stage 3 (rename),Stage 4 (rename)
Stage name,[e.g. Awareness],[e.g. Consideration],[e.g. Decision],[e.g. Usage/Renewal]
Primary goal,,,,
Decision type (Exploratory/Comparative/Commitment/Usage validation/Recovery),,,,
Perceived risk (Low/Med/High),,,,
Cognitive load (Low/Med/High),,,,
Active functional job,,,,
Active emotional job,,,,
Active social job,,,,
Top pain 1,,,,
Top pain 1 intensity (1-5),,,,
Top pain 1 type (Time/Financial/Cognitive/Social/Trust/Effort),,,,
Top pain 2,,,,
Top pain 2 intensity (1-5),,,,
Top pain 2 type,,,,
Top pain 3,,,,
Top pain 3 intensity (1-5),,,,
Top pain 3 type,,,,
Emotion - entry,,,,
Emotion - peak,,,,
Emotion - exit,,,,
Emotion - residue carried forward,,,,
Identity at risk,,,,
Likely bias triggered,,,,
Context - device,,,,
Context - environment,,,,
Context - time pressure (Low/Med/High),,,,
Context - distraction/multitasking,,,,
Decision threshold (what must be true to proceed),,,,
